team,roof,surface,lat,lon,tz,altitude_ft
Arizona Cardinals,retractable,grass,33.5277,-112.2626,America/Phoenix,
Atlanta Falcons,retractable,artificial,33.7554,-84.401,America/New_York,
Baltimore Ravens,open,grass,39.278,-76.6227,America/New_York,
Buffalo Bills,open,grass,42.7738,-78.7869,America/New_York,
Carolina Panthers,open,grass,35.2258,-80.8528,America/New_York,
Chicago Bears,open,grass,41.8623,-87.6167,America/Chicago,
Cincinnati Bengals,open,artificial,39.0954,-84.516,America/New_York,
Cleveland Browns,open,grass,41.5061,-81.6995,America/New_York,
Dallas Cowboys,retractable,artificial,32.7473,-97.0945,America/Chicago,
Denver Broncos,open,grass,39.7439,-105.0201,America/Denver,
Detroit Lions,fixed,artificial,42.34,-83.0456,America/Detroit,
Green Bay Packers,open,grass,44.5013,-88.0622,America/Chicago,
Houston Texans,retractable,artificial,29.6847,-95.4107,America/Chicago,
Indianapolis Colts,retractable,artificial,39.7601,-86.1639,America/Indiana/Indianapolis,
Jacksonville Jaguars,open,grass,30.3239,-81.6374,America/New_York,
Kansas City Chiefs,open,grass,39.049,-94.4839,America/Chicago,
Las Vegas Raiders,fixed,grass,36.0908,-115.183,America/Los_Angeles,
Los Angeles Chargers,fixed,artificial,33.9535,-118.3391,America/Los_Angeles,
Los Angeles Rams,fixed,artificial,33.9535,-118.3391,America/Los_Angeles,
Miami Dolphins,open,grass,25.958,-80.2389,America/New_York,
Minnesota Vikings,fixed,artificial,44.9735,-93.2575,America/Chicago,
New England Patriots,open,artificial,42.0909,-71.2643,America/New_York,
New Orleans Saints,fixed,artificial,29.9509,-90.0815,America/Chicago,
New York Giants,open,artificial,40.8135,-74.0745,America/New_York,
New York Jets,open,artificial,40.8135,-74.0745,America/New_York,
Philadelphia Eagles,open,grass,39.9008,-75.1675,America/New_York,
Pittsburgh Steelers,open,grass,40.4468,-80.0158,America/New_York,
San Francisco 49ers,open,grass,37.403,-121.969,America/Los_Angeles,
Seattle Seahawks,open,artificial,47.5952,-122.3316,America/Los_Angeles,
Tampa Bay Buccaneers,open,grass,27.9759,-82.5033,America/New_York,
Tennessee Titans,open,grass,36.1665,-86.7713,America/Chicago,
Washington Commanders,open,grass,38.9077,-76.8645,America/New_York,
