team,pass,rush
ARI,0.5384615384615384,0.46153846153846156
BUF,0.4722222222222222,0.5277777777777778
BAL,0.6521739130434783,0.34782608695652173
KC,0.62,0.38
NO,0.5833333333333334,0.4166666666666667
CAR,0.55,0.45
DAL,0.7931034482758621,0.20689655172413793
CLE,0.7037037037037037,0.2962962962962963
SEA,0.5526315789473685,0.4473684210526316
DEN,0.7209302325581395,0.27906976744186046
PHI,0.42028985507246375,0.5797101449275363
GB,0.5384615384615384,0.46153846153846156
IND,0.5,0.5
HOU,0.5526315789473685,0.4473684210526316
JAX,0.59375,0.40625
MIA,0.6470588235294118,0.35294117647058826
DET,0.5555555555555556,0.4444444444444444
LA,0.6341463414634146,0.36585365853658536
LV,0.6551724137931034,0.3448275862068966
LAC,0.5853658536585366,0.4146341463414634
MIN,0.8,0.2
NE,0.6206896551724138,0.3793103448275862
CIN,0.7962962962962963,0.2037037037037037
NYJ,0.7948717948717948,0.20512820512820512
SF,0.575,0.425
ATL,0.5384615384615384,0.46153846153846156
TEN,0.6666666666666666,0.3333333333333333
TB,0.7288135593220338,0.2711864406779661
WAS,0.5396825396825397,0.4603174603174603
CHI,0.6060606060606061,0.3939393939393939
NYG,0.5357142857142857,0.4642857142857143
PIT,0.6216216216216216,0.3783783783783784
