team,RB,WR,TE,QB
ARI,0.358974358974359,0.38461538461538464,0.1282051282051282,0.1282051282051282
BUF,0.6111111111111112,0.3333333333333333,0.05555555555555555,0.0
BAL,0.4492753623188406,0.2753623188405797,0.2753623188405797,0.0
KC,0.24,0.5,0.18,0.08
NO,0.4444444444444444,0.4444444444444444,0.0,0.1111111111111111
CAR,0.475,0.475,0.05,0.0
DAL,0.27586206896551724,0.6551724137931034,0.034482758620689655,0.034482758620689655
CLE,0.25925925925925924,0.37037037037037035,0.2962962962962963,0.07407407407407407
SEA,0.42105263157894735,0.39473684210526316,0.13157894736842105,0.05263157894736842
DEN,0.2558139534883721,0.5116279069767442,0.11627906976744186,0.11627906976744186
PHI,0.3333333333333333,0.18840579710144928,0.057971014492753624,0.42028985507246375
GB,0.46153846153846156,0.38461538461538464,0.1346153846153846,0.019230769230769232
IND,0.375,0.45,0.025,0.15
HOU,0.5,0.42105263157894735,0.07894736842105263,0.0
JAX,0.28125,0.5,0.09375,0.125
MIA,0.4411764705882353,0.2647058823529412,0.23529411764705882,0.058823529411764705
DET,0.375,0.4722222222222222,0.1388888888888889,0.013888888888888888
LA,0.4146341463414634,0.43902439024390244,0.14634146341463414,0.0
LV,0.3793103448275862,0.41379310344827586,0.1724137931034483,0.034482758620689655
LAC,0.4146341463414634,0.4878048780487805,0.04878048780487805,0.04878048780487805
MIN,0.24444444444444444,0.6,0.13333333333333333,0.022222222222222223
NE,0.3793103448275862,0.3793103448275862,0.1724137931034483,0.06896551724137931
CIN,0.18518518518518517,0.7037037037037037,0.07407407407407407,0.037037037037037035
NYJ,0.1794871794871795,0.6153846153846154,0.1282051282051282,0.07692307692307693
SF,0.3,0.3,0.225,0.175
ATL,0.48717948717948717,0.41025641025641024,0.10256410256410256,0.0
TEN,0.30303030303030304,0.48484848484848486,0.18181818181818182,0.030303030303030304
TB,0.3559322033898305,0.4915254237288136,0.1016949152542373,0.05084745762711865
WAS,0.4444444444444444,0.3968253968253968,0.14285714285714285,0.015873015873015872
CHI,0.3939393939393939,0.48484848484848486,0.12121212121212122,0.0
NYG,0.39285714285714285,0.5,0.03571428571428571,0.07142857142857142
PIT,0.21621621621621623,0.35135135135135137,0.24324324324324326,0.1891891891891892
